institution,latitude,longitude,count
"Halle, Universitäts- und Landesbibliothek",51.4895668,11.9704166,2
"Hamburg, Staats-und Universitätsbibliothek",53.5647864,9.9852186,11
"Hannover, Landesbibl",52.3652955,9.7307585,2
"Hannover, Stadtbibliothek",52.3668687,9.7451304,1
"Harvard University, Houghton Library",42.3730767,-71.1159007,1
"Heidelberg, Universitätsbibliothek",49.3987524,8.6724335,8
"Hermetschwil, Benedictine monastery",47.3307554,8.3411019,2
"Hildesheim, Cathedral Library",52.1499559,9.9475617,2
"Hildesheim, Stadtarchiv",52.154778,9.9579652,1
"Huntington Library, Art Museum, and Botanical Gardens",34.1290452,-118.1145242,1
"Jena, University and State Library",50.927054,11.5892372,1
"Karlsruhe, Badische Landesbibliothek",49.0077928,8.3987622,42
"Klosterneuburg, Stiftsbibliothek",48.3098656,16.323772,1
"Laon, Bibliothèque municipale",49.564133,3.61989,2
"Laubach, Graf zu Solms-Laubach'sche Bibliothek",50.5413385,8.9868956,1
"Lawrence (Kansas), University of Kansas, Kenneth Spencer Research Library",38.9589625,-95.2475676,3
"Leiden, Bibliotheek der Rijksuniversiteit",52.157305,4.481427,12
"Leipzig, Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum, Klemm-Sammlung",51.3224013,12.3948958,2
"Leipzig, Universitätsbibliothek",51.3323015,12.3683285,3
Linköping City Library,58.4115382,15.6128859,1
"Lisbon, Biblioteca Nacional de Portugal",38.7511102,-9.1526399,7
"London, British Library",51.5299717,-0.1276759,28
"London, Lambeth Palace Library",51.4976651,-0.1182504,2
"London, Victoria and Albert Museum",51.4966392,-0.17218,2
"Lübeck, Stadtbibliothek",53.8685854,10.6901317,3
"Lucerne, Provincial Archives of the Swiss Capuchins",47.0501682,8.3093072,3
"Luik, Gent, Universiteitsbibliotheek",51.0499922,3.7303853,2
"Lüneburg, Ratsbücherei",53.2506528,10.4056517,1
"Mainz, Stadtbibliothek",50.0085831,8.2693955,1
Manchester England University of Manchester Rylands Library,53.480297,-2.2488787,1
Manuscript recorded in the Ashburnham-Barrois sale catalogue,42.635545,-71.9097394,1
"Milan, Biblioteca Ambrosiana",45.4634791,9.1857881,5
"Milan, Biblioteca Nazionale Braidense",45.4721637,9.1886976,2
Modena Biblioteca Estense,44.6482579,10.9210031,1
"Moscow, National Museum of History",55.7568721,37.6150527,1
"Moscow, Russian National Library",55.7568721,37.6150527,2
"Moscow, State Library (RGB)",55.7517701,37.6088686,1
"Munich, Bayerische Staatsbibliothek",48.147493,11.5803217,106
"Munich, Nationalmuseum",48.1380573,11.6133859,1
"Munich, Staatliche GraphischeSammlung",48.1445716,11.5664739,1
"Münster, Staatsarchiv
",51.9606649,7.6261347,2
Museu de Aveiro,40.639299,-8.650949,17
"Müstair, Klosterarchiv",46.6261772,10.445857,1
"Namur, Musée Archéologique",50.462179,4.8680772,1
"New Haven, Beinecke Library, Yale University",41.3115681,-72.9273095,5
New York Public Library,40.7734129,-73.9847291,1
"New York, Columbia Univ. Rare Book and Manuscript Library",40.8063993,-73.9632062,1
"New York, Union Theological Seminary Library",40.8109485,-73.9621413,2
"Nijmegen, Regionaal Archief Nijmegen",51.8454406,5.8667093,3
"Nijmegen, Universiteitsbibliotheek Nijmegen",51.8199722,5.8654955,4
"Nuremberg, Germanisches Nationalmuseum",49.4484179,11.0752469,21
"Nuremberg, Stadtbibliothek",49.4542881,11.0745641,236
"Osnabrück, Diözesanarchiv",52.2799112,8.0471788,1
"Oxford, Bodleian Library",51.754073,-1.254042,32
"Oxford, Keble College",51.7591261,-1.2574957,1
"Oxford, St John's College",51.7560544,-1.2589484,2
"Padova, Biblioteca Civica",45.4085993,11.8822506,1
"Padova, Biblioteca del Seminario",45.4105029,11.8782071,1
"Paris, Bibliothèque de l'Arsenal",48.8503423,2.3635374,7
"Paris, Bibliothèque Mazarine",48.8574021,2.3370587,3
"Paris, Bibliothèque nationale de France",48.8575475,2.3513765,36
"Paris, Bibliothèque Thiers",48.8784462,2.3370959,1
"Parma, Biblioteca Palatina",44.80498,10.3259,2
"Pavia, Biblioteca Universitaria",45.1867624,9.1558962,1
"Perugia, Archivio di Stato, Monteluce",43.1107168,12.3908279,1
"Perugia, Biblioteca Comunale",43.113655,12.390489,18
"Perugia, Monastero di Monteluce in S. Erminio",43.1194347,12.4004967,6
"Philadelphia, Free Library of Philadelphia",39.9525839,-75.1652215,12
"Philadelphia, University of Pennsylvania",39.9515013,-75.1910161,2
"Pommersfelden, Gräfliche Schönbornsche Schlossbibliothek",49.7649714,10.821654,2
"Porrentruy, Bibliothèque cantonale jurasienne",47.4171465,7.0741392,2
Prague University,50.0871106,14.4234889,7
"Prague, Knihovna Metropolitni Kapituli",50.0891602,14.3976923,1
"Prague, National Library of the Czech Republic",50.0869717,14.4172019,4
"Prague, National Museum",50.0789704,14.4309369,3
"Regensburg, Archive of the Dominican Convent of Holy Cross",49.0134297,12.1016236,1
"Riga, National Library",56.9410509,24.0968204,1
Rome Biblioteca Casanatense,41.8986879,12.4794511,2
"Rome, Biblioteca Nazionale Centrale",41.9055533,12.5082884,3
"s-Hertogenbosch, Société provinciale des Arts et des Sciences",51.6978162,5.3036748,1
"Saint Petersburg, Hermitage Museum",59.9398317,30.3145597,1
"Salzburg, Bibliothek St. Peter",47.8014154,13.0448441,34
"Salzburg, Nonnberg Abtei",47.797534,13.051998,9
